"id","challenge_id","category"
"1","55","benchmark"
"2","169","benchmark"
"3","155","benchmark"
"4","278","hackathon"
"5","264","hackathon"
"6","335","hackathon"
"7","481","hackathon"
"8","482","hackathon"
"9","483","hackathon"
"10","484","hackathon"
"11","485","hackathon"
"12","486","hackathon"
"13","487","hackathon"
"14","491","hackathon"
"15","497","hackathon"
"16","158","benchmark"
"17","457","benchmark"
"18","458","benchmark"
"19","462","benchmark"
"20","460","benchmark"
"21","503","benchmark"
"22","519","benchmark"
"23","518","benchmark"
"24","520","benchmark"
"25","534","hackathon"
"26","547","hackathon"
"27","551","benchmark"
"28","565","benchmark"
"29","570","benchmark"
"30","566","benchmark"
"31","567","benchmark"
"32","568","benchmark"
"33","569","benchmark"
"34","571","benchmark"
"35","550","benchmark"
"36","649","hackathon"
"37","591","benchmark"
"38","590","benchmark"
"39","589","benchmark"
"40","588","benchmark"
"41","587","benchmark"
"42","586","benchmark"
"43","585","benchmark"
"44","584","benchmark"
"45","583","benchmark"
"46","582","benchmark"
"47","651","hackathon"
"48","655","hackathon"
"49","656","hackathon"
"50","657","benchmark"
"51","658","benchmark"
"52","659","benchmark"
